,alfabank,date,gazprom,raiffeisen,rshb,sberbank,text,twitid,uralsib,vtb
32,NULL,1406258756,NULL,NULL,NULL,0,Западно уральский сбербанк россии акция ипотечный кредит http://t.co/jEsbw6MGO2,492511039679110000,NULL,NULL
33,NULL,1406258902,NULL,NULL,NULL,NULL,Банк втб 24 казань потребительский кредит http://t.co/lqXXCyMx2F,492511649405090000,NULL,0
34,NULL,1406258933,NULL,NULL,NULL,0,http://t.co/qfYkNOXrQT Взять кредит сбербанк россии казань,492511780682600000,NULL,NULL
35,NULL,1406259131,NULL,NULL,NULL,NULL,http://t.co/LNqdQ8s8pa Как оформить кредитную карту уралсиб банка в рб,492512612094350000,0,NULL
36,NULL,1406259214,NULL,NULL,NULL,0,http://t.co/TxgTGAgqBL Взять кредит сбербанк онлайн,492512958367680000,NULL,NULL
37,NULL,1406259245,NULL,NULL,0,NULL,Целевой кредит в россельхозбанке с поручителем http://t.co/mY8Ja0RYni,492513087950710000,NULL,NULL
38,NULL,1406259265,NULL,NULL,NULL,0,170 лет сбербанк акции автокредит екатеринбург http://t.co/BfkRy9kBry,492513172381630000,NULL,NULL
39,NULL,1406259646,NULL,NULL,NULL,0,руководство по программе сбербанк бизнес http://t.co/eW9lQ1bKx1 #бизнес #руководство,492514770092700000,NULL,NULL
40,NULL,1406260188,NULL,NULL,NULL,NULL,Банк москвы даёт кредиты http://t.co/tf2WOLOYRk,492517044559310000,NULL,NULL
41,0,1406260282,NULL,NULL,NULL,NULL,http://t.co/CbMNABPOqp Альфа банк взять кредит наличными,492517439486570000,NULL,NULL
42,NULL,1406260312,NULL,NULL,NULL,1,Снижение процентной ставки по кредиту на недвижимость сбербанк http://t.co/MredO898wK,492517565970020000,NULL,NULL
43,NULL,1406260468,NULL,NULL,0,NULL,Кредиты в россельхозбанке без посредников http://t.co/t5zdJbvd98,492518219383860000,NULL,NULL
44,NULL,1406260572,NULL,NULL,NULL,-1,"RT @letokot: Если Сбер и ВТБ попали под санкции, будет жопа",492518654928780000,NULL,-1
45,NULL,1406260707,NULL,NULL,NULL,NULL,http://t.co/JB7JqZMGkL Втб 24 зао взять кредит н новгороде кредиты,492519222233530000,NULL,0
46,NULL,1406260849,NULL,0,NULL,NULL,Райффайзенбанк уфа кредит на снегоход полярис http://t.co/wIQo8tABTY,492519818218960000,NULL,NULL
47,0,1406261015,NULL,NULL,NULL,NULL,http://t.co/14dY9LVVeV Взять кредит на технику в альфа банке,492520511831040000,NULL,NULL
48,NULL,1406261147,NULL,NULL,NULL,1,"В наш сбербанк пришел американец и попросил сфоткаться с ним у банкомата ;D 
я ваще была в шоке и на фотке полюбому получилась смешная xD",492521065252650000,NULL,NULL
49,NULL,1406261519,NULL,NULL,NULL,NULL,http://t.co/XifphFemGQ Втб 24 банк взять кредит без справки о доходах,492522625911250000,NULL,0
50,NULL,1406261787,NULL,NULL,0,NULL,Отсрочка платежа по кредиту россельхозбанк http://t.co/5EAnvWO5uN,492523751243010000,NULL,NULL
51,NULL,1406262228,NULL,NULL,NULL,NULL,Заявление анкета на ипотечный кредит втб 24 http://t.co/6ADWm91x7i,492525602042560000,NULL,0
52,NULL,1406262383,-1,NULL,NULL,NULL,"RT @360_tv_ru: #Канада ввела санкции против 10 оборонных и сырьевых компаний и банков #РФ. Среди них, в частности, ""#Газпромбанк"", ""#Внешэк…",492526248812640000,NULL,NULL
53,NULL,1406262794,NULL,NULL,NULL,1,"За первое полугодие 2014 года Сбербанк России выдал ипотечных кредитов на сумму более 402 млрд. рублей, что на 70% больше аналогичного пока",492527972617040000,NULL,NULL
54,NULL,1406263215,NULL,0,NULL,NULL,Условия частично досрочного погашения кредита в райффайзенбанке http://t.co/EzFc16VMis,492529739253700000,NULL,NULL
55,NULL,1406263710,NULL,NULL,NULL,0,Расчет кредита наличными сбербанк http://t.co/i4lscIs9Q8,492531814532400000,NULL,NULL
56,NULL,1406263720,0,NULL,NULL,0,Сравнить кредитные ставки в сбербанке газпромбанке ираффайзенбанке http://t.co/DJJAAjtgC1,492531860439070000,NULL,NULL
57,NULL,1406263941,NULL,NULL,NULL,0,Бпс сбербанк депозиты кредиты http://t.co/ahmUA7Tb52,492532786776260000,NULL,NULL
58,NULL,1406263942,NULL,NULL,NULL,0,Пенза сбербанк жилищный кредит http://t.co/NMFI9Aph9M,492532788852420000,NULL,NULL
59,NULL,1406264089,NULL,NULL,NULL,1,Пресс-релиз банка: Сбербанк и «Трест Уралавтострой» заключили соглашение о сотрудничестве,492533405838360000,NULL,NULL
60,NULL,1406264297,NULL,0,NULL,NULL,Документы для потребительского кредита в райффайзенбанке http://t.co/a4k2lYdySk,492534278916690000,NULL,NULL
61,NULL,1406264777,NULL,NULL,NULL,0,Высчитывать проценты по кредиту сбербанк http://t.co/w9gsypw5S7,492536292576870000,NULL,NULL
62,NULL,1406265237,NULL,NULL,NULL,NULL,Кредиты юридическим лицам банк втб 24 http://t.co/WmanyuVuBd,492538220589380000,NULL,0
63,NULL,1406265237,NULL,NULL,0,NULL,Россельхозбанк кредит на развитие тепличного хозяйства http://t.co/q5b1M1iiMK,492538220660670000,NULL,NULL
64,NULL,1406265705,NULL,NULL,NULL,-1,"@Irinka_Koluchka @banki_ru И одной из контор-мошенников составляет банк Сбербанк России под крыш ой правительства.
 http://t.co/aZQDCddf4A",492540184438000000,NULL,NULL
65,0,1406265860,NULL,NULL,NULL,NULL,Обслуживание кредитной карты альфа банка http://t.co/NTvNADbEPY,492540834605440000,NULL,NULL
66,NULL,1406266185,NULL,NULL,NULL,-1,"@Pkawka91 @banki_ru Он не под крышой... походу, он сам крыша... Сбербанк используют, вопрос почему и кто позволяет.. http://t.co/PMSCp8mcQz",492542198387580000,NULL,NULL
67,NULL,1406266198,NULL,NULL,NULL,0,Кредитный калькулятор сбербанк украины http://t.co/JqD0an7yhZ,492542251370040000,NULL,NULL
68,NULL,1406266782,NULL,NULL,NULL,+-,http://t.co/a7Vjha8K8F Сбербанк не меняет привычек: теперь и в Интернете,492544699442280000,NULL,NULL
69,NULL,1406266817,NULL,NULL,1,NULL,Россельхозбанк утвердил Программу развития региональной сети до 2020 года | http://t.co/zYNBxNTSag http://t.co/joYrLQpsAt,492544848860180000,NULL,NULL
70,NULL,1406267214,NULL,NULL,NULL,0,Отказ от повышения налогов сохранит и даже ускорит рост ВВП РФ - Sberbank CIB,492546512652500000,NULL,NULL
71,NULL,1406267408,NULL,NULL,NULL,1,Льготное кредитование на автомобили 2014 сбербанк http://t.co/WU0s8lMWQA,492547326574360000,NULL,NULL
72,NULL,1406268020,-1,NULL,NULL,NULL,"Новые санкции США в отношении Внешэкономбанка (ВЭБ), Газпромбанка, ""Роснефти"" и НОВАТЭКа вызвали рост неопределенности и недоверия, что мож",492549895270970000,NULL,NULL
73,NULL,1406268862,NULL,NULL,0,NULL,Расчет потребительского кредита в россельхозбанке http://t.co/RWXlHdjCfb,492553427235650000,NULL,NULL
74,NULL,1406268917,NULL,NULL,NULL,NULL,получение автокредита втб 24 без прописки в москве,492553656164960000,NULL,0
75,NULL,1406269557,NULL,NULL,NULL,0,Проверка баланса на кредитной карте sberbank http://t.co/TgjIRfz5uy,492556341282880000,NULL,NULL
76,NULL,1406269936,NULL,NULL,0,NULL,Кредиты в россельхозбанке в кабардино балкарии http://t.co/IDHiJuLnaG,492557931125410000,NULL,NULL
77,NULL,1406271749,NULL,NULL,NULL,0,#СМИ Сбербанк поможет своему должнику построить Керченский мост: @dailysmi_net Глава Сбербанка Герман... http://t.co/A2S7sx7eRu #новости,492565533607210000,NULL,NULL
78,NULL,1406271760,NULL,NULL,NULL,-1,"Если терминал по-прежнему не работает,то тогда через сбербанк онлайн придется",492565579103210000,NULL,NULL
79,0,1406272095,NULL,NULL,NULL,NULL,Туры в кредит альфа банк,492566985000360000,NULL,NULL
80,NULL,1406272414,NULL,NULL,NULL,0,инструкция по инкассации денежных средств в сбербанк http://t.co/0NcY4oYTKD #по #сбербанк,492568323901510000,NULL,NULL
81,NULL,1406272601,NULL,NULL,NULL,NULL,RT @omartynchik1: #Уралсиб Банк Сарапул Заявка На Кредит http://t.co/aG3nHZ2hgL,492569106088870000,0,NULL
82,NULL,1406274682,NULL,-1,NULL,NULL,«Райффайзен Банк Аваль» за полгода получил 1 млрд гривень убытка,492577836977640000,NULL,NULL
83,NULL,1406275247,NULL,NULL,NULL,NULL,Где получить кредит до 75 лет Кредиты для пенсионеров в ВТБ 24 в 60 65 70 лет в 2014 году http://t.co/H110iUaEeh,492580204632890000,NULL,0
84,NULL,1406275258,NULL,NULL,NULL,NULL,Взять выгодный кредит онлайн в ВТБ 24 под залог квартиры или другой недвижимости  http://t.co/I85MOExXse,492580250820540000,NULL,1
85,NULL,1406275629,0,NULL,NULL,NULL,"RT @ybobscufi23: Информация Банка России ""О деятельности Газпромбанка и Внешэкономбанка""",492581806777340000,NULL,NULL
86,NULL,1406276566,NULL,NULL,1,NULL,"Правлением ОАО «Россельхозбанк» утверждена Программа развития региональной сети Банка до 2020 года, призванная решить сразу несколько страт",492585739054750000,NULL,NULL
87,-1,1406277016,NULL,NULL,NULL,NULL,RT @yonchik1: Никогда не переводите деньги из #qiwi в #альфабанк это 5 !!! календарных дней минимум и потом еще поиск этих денег! #банки 21…,492587625031960000,NULL,NULL
88,NULL,1406277269,NULL,NULL,NULL,1,Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России http://t.co/fEHyCTYaxj,492588685704320000,NULL,NULL
89,NULL,1406277405,NULL,NULL,1,NULL,За полгода благодаря ипотеке от Россельхозбанка жилищные условия улучшили больше 300 красноярских семей. Филиал выдал на эти цели в общей с,492589259438960000,NULL,NULL
90,NULL,1406277574,NULL,NULL,NULL,1,Журнал Global Finance признал Сбербанк Онлайн: По результатам проведенного исследования журнал Global Finance ... http://t.co/REkPVmc4NU,492589966828920000,NULL,NULL
91,NULL,1406280161,NULL,NULL,NULL,1,@D_Babich сбер собираюсь открыть сегодня.,492600818810770000,NULL,NULL
92,NULL,1406282189,NULL,NULL,NULL,0,"@sberbank Но и когда уже Вы созреете господа банкиры.
http://t.co/Fg88U95jHX",492609324716680000,NULL,NULL
93,-1,1406282803,NULL,NULL,NULL,NULL,"Раньше в Альфа банке такие красивые девочки работали, а щас какие-то забитые мыши",492611899562150000,NULL,NULL
94,NULL,1406282814,NULL,NULL,NULL,0,Сбербанк России намерен построить недвижимость во всей стране: В скором времени Сбербанк России намерен вложит... http://t.co/OjZPbKy9jE,492611943887140000,NULL,NULL
95,NULL,1406283882,NULL,NULL,NULL,NULL,http://t.co/ftGJlXXHSi Взять кредит в втб 24 наличными,492616424318580000,NULL,0
96,NULL,1406284449,NULL,0,NULL,NULL,http://t.co/I1DwWNVzmq Оформить заявку на кредит райффайзенбанк,492618800802830000,NULL,NULL
97,NULL,1406284865,-1,NULL,NULL,NULL,Под санкции Канады попали Газпромбанк и ВЭБ http://t.co/oZApBp1mlj #klerk,492620547457810000,NULL,NULL
98,NULL,1406284993,-1,NULL,NULL,NULL,"21 июля. FINMARKET.RU - Рост неопределенности и недоверия, вызванный новым раундом санкций США в отношении ВЭБа, Газпромбанка, ""Роснефти"" и",492621085171810000,NULL,NULL
99,NULL,1406285036,NULL,NULL,NULL,0,http://t.co/5hSweYuyvp Сбербанк взять кредит на машину,492621263379390000,NULL,NULL
100,NULL,1406285193,NULL,NULL,NULL,0,#tlt Поволжский Сбербанк проведет семинар по брокерскому обслуживанию http://t.co/8wXNYcxdTZ #тлт,492621922421580000,NULL,NULL
101,NULL,1406285214,NULL,NULL,NULL,1,В скором времени Сбербанк России намерен вложить энную сумму средств в строительство объектов недвижимости на всей территории страны. Общая,492622009617350000,NULL,NULL
102,0,1406285819,NULL,NULL,NULL,NULL,http://t.co/bmta53xeAQ Взять кредит в альфа банке нижнего новгорода,492624547951420000,NULL,NULL
103,0,1406286074,NULL,NULL,NULL,NULL,http://t.co/UMIXHReyDn Взять кредит в альфа банк в спб,492625619034060000,NULL,NULL
104,NULL,1406286136,NULL,NULL,NULL,1,"Сотрудники Банка расскажут, как грамотно инвестировать в рынок ценных бумаг и получать от этого прибыль...
   
. Поволжский Сбербанк провед",492625878577610000,NULL,NULL
105,0,1406286664,NULL,NULL,NULL,NULL,http://t.co/7WPZr1EOTf Как взять кредит в альфа банке по интернету,492628092104770000,NULL,NULL
106,NULL,1406286809,NULL,NULL,0,NULL,http://t.co/Zdw84BqjiK Взять кредит в россельхозбанке кемерово,492628701176430000,NULL,NULL
107,NULL,1406287077,NULL,NULL,NULL,1,"RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100",492629823219850000,NULL,NULL
108,NULL,1406287220,NULL,NULL,0,NULL,http://t.co/QnbTyIP11s Как взять кредит россельхозбанке,492630424120990000,NULL,NULL
109,NULL,1406287451,NULL,NULL,NULL,0,Поволжский Сбербанк проведет семинар по брокерскому обслуживанию,492631392724200000,NULL,NULL
110,-1,1406287916,NULL,NULL,NULL,NULL,@alfa_bank я всего лишь заменил сим карту (не номер) и теперь для разблокировки симкарты мне надо ехать в отделение Альфа-Банк.,492633342870040000,NULL,NULL
111,NULL,1406288168,NULL,NULL,NULL,0,образец кредитного договора сбербанк россии http://t.co/80CoIwN5uw #россии #договора,492634400425650000,NULL,NULL
112,NULL,1406288211,NULL,NULL,0,NULL,http://t.co/7Tc4rWqCRL Как взять кредит в россельхозбанк в марий эл,492634579527010000,NULL,NULL
113,NULL,1406288254,NULL,NULL,NULL,NULL,Банк Москвы будет гореть в Аду. Я лично спущусь с Небес. Проверить.,492634759395550000,NULL,NULL
114,NULL,1406288519,NULL,0,NULL,NULL,http://t.co/YcWLLigpKJ Получить небольшой кредит в райффайзен банке,492635872572220000,NULL,NULL
115,0,1406288805,NULL,NULL,NULL,NULL,Я просто зашла в Альфа банк и увидела этот журнал )Мило,492637072088630000,NULL,NULL
116,0,1406288961,NULL,NULL,NULL,NULL,http://t.co/37IIAbUqUW Со скольких лет можно взять кредит в альфа банке,492637726546880000,NULL,NULL
117,NULL,1406289017,NULL,NULL,NULL,NULL,Банк Москвы отчитался о первых результатах в работе с региональными операторами: Банк Москвы одним из... http://t.co/luHGb3vSwW #novosti,492637959653310000,NULL,NULL
118,0,1406289870,NULL,NULL,NULL,NULL,http://t.co/ao9XFCObMV Взять потребительский кредит в альфа банке за 30 мин,492641541023080000,NULL,NULL
119,0,1406290591,NULL,NULL,NULL,NULL,http://t.co/GzJ4nIQnQ3 Взять кредит в альфа банке наличными,492644563216250000,NULL,NULL
120,NULL,1406290677,-1,NULL,NULL,NULL,"Ограничительные меры затронут такие организации, как Газпромбанк, Внешэкономбанк, ""Калашников"", ""Конструкторское бюро приборостроения"", ""Но",492644923012030000,NULL,NULL
121,NULL,1406290688,NULL,NULL,NULL,0,http://t.co/wtPUUn9KMR Сбербанк россии как взять кредит на неотложные нужды,492644971909230000,NULL,NULL
122,NULL,1406292121,NULL,NULL,0,NULL,http://t.co/smU2bT3v7V Как оформить кредит в россельхозбанк,492650979872240000,NULL,NULL
123,NULL,1406292603,NULL,NULL,NULL,1,Сбербанк Онлайн лучший интернет-банк в России: Сбербанк Онлайн позволяет клиенту управлять сво... http://t.co/qqIISqRraP #Саратов,492653001824160000,NULL,NULL
124,NULL,1406292993,NULL,NULL,0,NULL,http://t.co/fub3Pzo0H0 Взять кредит в оао россельхозбанк 800 т,492654638517470000,NULL,NULL
125,NULL,1406293469,NULL,NULL,NULL,0,http://t.co/k1fLrnMJL9 Сбербанк россии взять кредит онега,492656635790500000,NULL,NULL
126,NULL,1406293935,NULL,NULL,NULL,1,По результатам проведенного исследования журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России в 2014 год,492658589488930000,NULL,NULL
127,-1,1406294035,NULL,NULL,NULL,NULL,@alfa_bank раз уж на то пошло... Лентяи работающие с физиками.,492659009267460000,NULL,NULL
128,NULL,1406294047,NULL,NULL,NULL,0,http://t.co/KoHCPzRAds Оформить кредитную карту сбербанк без справок,492659058194020000,NULL,NULL
129,NULL,1406294201,NULL,NULL,NULL,NULL,http://t.co/ZGbpFevMZl Взять кредит наличными в втб 24 калькулятор,492659705786150000,NULL,0
130,0,1406295657,NULL,NULL,NULL,NULL,http://t.co/eSqT2ncUP8 Взять кредит альфа банк город спасск дальний,492665812130730000,NULL,NULL
131,NULL,1406296128,NULL,NULL,NULL,0,http://t.co/MnR6voJrK9 Сбербанк кредит хоть я не работаю могу взять или нет,492667786846820000,NULL,NULL
132,NULL,1406297199,NULL,NULL,NULL,0,@M4DON_INFO Комиссия будет начисляться согласно тарифам @sberbank по переводу на другие карты.,492672279835600000,NULL,NULL
133,NULL,1406297274,NULL,NULL,NULL,NULL,http://t.co/DzAxRR6CPP Доверительный кредит втб 24 на каких условиях взять,492672595465370000,NULL,0
134,NULL,1406297285,NULL,NULL,NULL,-1,@max_katz Лайфхак дня: напишите на стене #Сбербанк и через пол часа там выстроиться очередь из 30 пенсионеров,492672639421660000,NULL,NULL
135,NULL,1406297539,0,NULL,NULL,NULL,http://t.co/Bmr7mfAZxc Взять потребительский кредит в газпромбанке,492673706410650000,NULL,NULL
136,-1,1406297560,NULL,NULL,NULL,NULL,"@alfa_bank передал через хостес что занят, но при этом когда к нему сходила операционист с вопросом, он ее принял",492673791688840000,NULL,NULL
137,NULL,1406297727,NULL,NULL,0,NULL,http://t.co/qBnptDUer0 Взять кредит в россельхозбанке город можга,492674492842660000,NULL,NULL
138,NULL,1406297895,-1,NULL,NULL,NULL,#Новые санкции затрагивают и Газпромбанк  #sledui,492675200337840000,NULL,NULL
139,NULL,1406298475,NULL,0,NULL,NULL,http://t.co/ZMCgjC8fDj Взять кредит в райффайзенбанке в омске,492677629418690000,NULL,NULL
140,NULL,1406299168,NULL,NULL,NULL,-1,"#банкомат компании #Сбербанк съел #деньги и испортил мне вечер и выходные, #падла",492680536440460000,NULL,NULL
141,NULL,1406300139,NULL,0,NULL,NULL,http://t.co/MITS4iczkU Оформить кредитную карту райфайзенбанкаваль,492684612481850000,NULL,NULL
142,0,1406300248,NULL,NULL,NULL,NULL,http://t.co/M2S4pclR7N Как взять кредит в альфа банке,492685066167150000,NULL,NULL
143,NULL,1406300299,NULL,NULL,NULL,-1,"ВЭБ, ВТБ, Сбербанк - касса Путина. никогда не доверю им деньги",492685282110870000,NULL,-1
144,NULL,1406300642,NULL,NULL,0,NULL,Судебные приставы Ботлихского района совместно с работниками ОАО «Россельхозбанк» провели рейдовые мероприятия по взысканию кредитной задол,492686720958490000,NULL,NULL
145,NULL,1406300828,NULL,NULL,NULL,-1,RT @inbergMck: Россия: Сбербанк повысил процентные ставки по ипотеке http://t.co/1zFbpzQJeV,492687500574740000,NULL,NULL
146,NULL,1406301886,NULL,NULL,NULL,0,http://t.co/dntW38k4SP Сбербанк рф как взять кредит в сумме 150000 руб,492691939129820000,NULL,NULL
147,NULL,1406302194,0,NULL,NULL,NULL,http://t.co/Z8r6vTjpwm Оформить заявку на кредит в газпромбанке в костроме,492693228110750000,NULL,NULL
148,0,1406302345,NULL,NULL,NULL,NULL,http://t.co/SnVMm7H6Ip Оформить кредит в альфа банк,492693862960620000,NULL,NULL
149,NULL,1406303271,NULL,NULL,NULL,NULL,курс доллара в Орше покупка продажа /  / Банк БелВЭБ 10 270 10 320 / Банк ВТБ (Беларусь) 10 230 10 350 / Банк М.. http://t.co/PpZprbmLS8,492697748513520000,NULL,0
150,NULL,1406303838,NULL,NULL,NULL,--,@arseny_pe @ELukyanov @achupahina СБЕР,492700125526250000,NULL,NULL
151,NULL,1406304106,NULL,NULL,NULL,NULL,http://t.co/t8j9Xe6Ab9 Банк москвы в улан удэ оформить кредит через,492701249092210000,NULL,NULL
152,-1,1406304897,NULL,NULL,NULL,NULL,"@just_NS @alfa_bank Впизду эти карточки, лучше с наличкой двигаться! Возьму на заметку Ярик, мало ли со мной такое случится",492704567289580000,NULL,NULL
153,NULL,1406305007,NULL,NULL,NULL,NULL,курс рубля в Витебске покупка продажа /  / Банк БелВЭБ 291 295 / Банк ВТБ (Беларусь) 276 298 / Банк Москва - Ми.. http://t.co/d3SJqrg9qf,492705030617960000,NULL,0
154,NULL,1406305030,NULL,NULL,NULL,NULL,http://t.co/73v4VEzs8e Взять кредит уралсиб банк калининград,492705123802830000,0,NULL
155,NULL,1406306632,NULL,NULL,NULL,0,образец договора банковского вклада сбербанк http://t.co/L2juGzW5Ni #банковского #вклада,492711844880980000,NULL,NULL
156,NULL,1406308794,NULL,NULL,0,NULL,С 25 июля по 25 августа 2014 года Новгородский региональный филиал ОАО «Россельхозбанк» проводит месяц продаж… http://t.co/PhpyLNLekj,492720912228020000,NULL,NULL
157,NULL,1406310552,NULL,NULL,NULL,0,RT @sivyrymimad: Сбербанк застрахует имущество на полтриллиона рублей,492728285986820000,NULL,NULL
158,NULL,1406311140,NULL,NULL,NULL,0,В Вологодской области Сбербанк выдал 1400 кредитов «Доверие» для малого бизнеса,492730751625230000,NULL,NULL
159,NULL,1406312145,NULL,0,NULL,NULL,http://t.co/uW2ViyPjK4 minecraft ПОРТАЛ В РАЙФФАЙЗЕН bank,492734968087330000,NULL,NULL
160,NULL,1406314496,NULL,NULL,NULL,1,В 2013 году Сбербанк каждый час выдавал жилищных кредитов на 10 млн рублей.В Северном банке Сбербанка России подведены итоги розничного кре,492744827365490000,NULL,NULL
161,NULL,1406317145,NULL,NULL,NULL,0,"@sberbank здравствуйте, возможно ли отправить денги в Турцию? У вас просто ""western union"" нет. Спасибо заранее.",492755938953400000,NULL,NULL
162,NULL,1406318130,NULL,NULL,NULL,-1,"RT @pbldrila: сбербанк коварные. чем смсочки с днем рождения отправлять, лучше бы высылали деньги",492760071404020000,NULL,NULL
163,NULL,1406319129,-1,NULL,NULL,NULL,"#iPhone Введение ограничительных мер затронет Внешэкономбанк, Газпромбанк, «Конструкторское бюро приборостроен... http://t.co/hMM8YS3CJV",492764259244190000,NULL,NULL
164,NULL,1406319171,NULL,NULL,NULL,-1,"@mizotw к сожалению.. но он только шестёрка, нет?как и Греф, кстати.А СБЕР в крыму НЕ БУДЕТ ИМЕТЬ ФИЛИАЛЫ,сейчас его укр-дочка @Iskra_Veter",492764435074010000,NULL,NULL
165,NULL,1406320830,NULL,NULL,NULL,1,С 1 августа Сбербанк начнет выдавать кредиты на покупку недвижимости&amp;#8230;,492771393625270000,NULL,NULL
166,0,1406322388,NULL,NULL,NULL,NULL,Путевка в кредит от альфа банка,492777928141590000,NULL,NULL
167,0,1406323227,NULL,NULL,NULL,NULL,http://t.co/SKwIpA9HLR Как узнать могу ли я взять кредит в альфа банке,492781448383180000,NULL,NULL
168,NULL,1406324585,1,NULL,NULL,NULL,"«Газпром» пользуется услугами Газпромбанка, несмотря на санкции США",492787143081610000,NULL,NULL
