,beeline,date,komstar,megafon,mts,rostelecom,skylink,tele2,text,twitid
25,NULL,1406228440,NULL,NULL,-1,NULL,NULL,NULL,"Что объединяет #МТС и #МГТС ? Нет,не то, что они в одной группе компаний,а одинаково низкое качество услуг и поддержки",492383882931870000
26,NULL,1406228494,NULL,0,NULL,NULL,NULL,NULL,"@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама",492384108816120000
27,NULL,1406228639,NULL,0,NULL,NULL,NULL,NULL,"Леонид Парфенов снялся в рекламе планшетного интернета от ""Мегафон"" | АБН | Агентство Бизнес Новостей http://t.co/FTisq1k15d",492384716171900000
28,0,1406228869,NULL,NULL,NULL,NULL,NULL,NULL,"@Beeline_RUS Забавно. Сообщает минуты и трафик,смс не сообщает (но смс меня не интересует). Спасибо.",492385681617210000
29,-1,1406229101,NULL,NULL,NULL,NULL,NULL,NULL,"#Траффик на Билайне уходит неумолимо :(
#Билайн #Москва http://t.co/KGRzUG10xO",492386657698450000
30,-1,1406232015,NULL,NULL,NULL,NULL,NULL,NULL,"RT @owihycady: Новая реклама от пчелайна: - ""Просто пополняйте счет, и говорите бесплатно!"". Я один вижу здесь какой-то подвох?",492398877614830000
31,NULL,1406232321,NULL,NULL,0,NULL,NULL,NULL,МТС проведет экскурсию дополненной реальности во Львове,492400160089970000
32,NULL,1406232321,NULL,NULL,0,NULL,NULL,NULL,#RT МТС приглашает на экскурсию по местам боевой славы Донецка,492400161377640000
33,NULL,1406232927,NULL,NULL,-1,NULL,NULL,NULL,"@ru_mts вот утомили вы своей хитрожопостью, но пока альтернативы в местности нет, буду Вас заебывать.",492402701238820000
34,NULL,1406232980,NULL,0,NULL,NULL,NULL,NULL,Мегафон рассказал о правилах путешествия с телефоном - Тюменская линия,492402924140520000
35,NULL,1406257622,NULL,NULL,NULL,0,NULL,NULL,«Ростелеком» стал партнером всероссийского конкурса «Поколение I»,492506279869300000
36,NULL,1406257661,NULL,NULL,0,NULL,NULL,NULL,МТС ввел звонок из роуминга за счет вызываемого абонента,492506446081560000
37,NULL,1406257672,NULL,NULL,0,NULL,NULL,NULL,МТС и Opera представили магазин мобильных приложений App Market,492506489672990000
38,NULL,1406257973,NULL,NULL,+-,NULL,NULL,NULL,"@John_H_Barboza вай фай наверно еще, не?)) а мне на мтс не хватало, там лимит на день маловат, я дополнительно тратила на добавку))",492507754977060000
39,NULL,1406258014,NULL,0,NULL,NULL,NULL,NULL,Мегафон e173 скачать прошивку http://t.co/22yRZHrRlv,492507924254580000
40,NULL,1406258425,NULL,0,NULL,NULL,NULL,NULL,Мегафон тверь справка http://t.co/EthMLtzIZo,492509650307130000
41,NULL,1406258590,NULL,NULL,1,NULL,NULL,NULL,Завтра может у меня будет и Домашнее Цифровое ТВ МТС #RT,492510342103060000
42,1,1406258683,NULL,NULL,NULL,NULL,NULL,NULL,"@Beeline_RUS ребят, касательно вашего чудесного Мой Билайн.app для iPhone. А можно его сделать ещё чуточку чудеснее?) http://t.co/MgNY0TdPpt",492510730210800000
43,NULL,1406258767,NULL,NULL,NULL,NULL,NULL,0,Настройка ммс на iphone 5 теле2 http://t.co/KMUGNUvJ1d,492511084989800000
44,NULL,1406259172,NULL,1,NULL,NULL,NULL,NULL,@Tselyanov @diden05 @redcom_internet Им и пользуюсь сейчас! Спасибо @MegaFonDVpr !,492512780705360000
45,NULL,1406259564,NULL,-1,NULL,NULL,NULL,NULL,"Завтра придется идти в Мегафон, а то я что-то не разберу",492514428839940000
46,0,1406260239,NULL,NULL,NULL,NULL,NULL,NULL,"@Beeline_RUS здравствуйте! У меня есть идея по поводу тарифа. А также хочу направить вам резюме. Не подскажете адреса, куда можно направить?",492517256593940000
47,NULL,1406260839,NULL,NULL,NULL,0,NULL,NULL,"Рынки больших городов насыщены, а программа цифровизации «Ростелекомом» малых населенных пунктов еще не началась",492519773860030000
48,NULL,1406261015,NULL,NULL,0,NULL,NULL,NULL,инструкция настройки роутера keenetic 4g мтс сотовый оператор http://t.co/yb0e28EJS2 #4g,492520512740790000
49,NULL,1406261477,NULL,NULL,1,NULL,NULL,NULL,"завтра хочу сделать фотку с Сашей из мтс ,реально !! уу,Женя меня убьет))",492522451180320000
50,NULL,1406261562,NULL,-1,NULL,NULL,NULL,NULL,"Интернет в Тунке глючит, правда. #Мегафон тоже сволочной оператор.",492522807507820000
51,NULL,1406261882,NULL,1,NULL,NULL,NULL,NULL,"Возможность быть ""онлайн"" - специфика работы требует - очень радует (теперь ещё вафай-переносной-модем куплю мегафоновский и вообще в",492524149244710000
52,1,1406262078,NULL,NULL,NULL,NULL,NULL,NULL,"RT @_Beeline_kz: Сегодня День Системного Администратора! =) С праздником, друзья! http://t.co/KiDNwq11ht",492524970300280000
53,NULL,1406262794,NULL,NULL,0,NULL,NULL,NULL,ОАО &amp;quot;Мобильные ТелеСистемы&amp;quot; сообщает о запуске в коммерческую эксплуатацию первой сети 4G в Тюменской области. Услуги мобильной п,492527974278000000
54,NULL,1406262848,NULL,NULL,-1,NULL,NULL,NULL,Незаконная задолженность МТС - минус 9 миллионов! #minsk #ТвиттерСила,492528199663100000
55,NULL,1406263024,NULL,1,NULL,NULL,NULL,NULL,«МегаФон» в Вологодской области: полгода на скоростях 4G+,492528940020680000
56,NULL,1406263151,NULL,NULL,-1,NULL,NULL,NULL,"RT @EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/a0cGv7RIaj",492529470885340000
57,NULL,1406263372,NULL,NULL,1,NULL,NULL,NULL,«МТС Урал» отмечает рост продаж мобильных устройств с поддержкой 4G,492530400502510000
58,0,1406263501,NULL,NULL,NULL,NULL,NULL,NULL,"У группы есть ""голодный телефон"". Деньги, которые вы положите на этот номер: 8-965-925-0920 (Билайн), буд.. http://t.co/l64WsbRhb9",492530940074530000
59,NULL,1406263797,NULL,NULL,0,NULL,NULL,NULL,http://t.co/RrwH81dENe Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого або,492532183333360000
60,0,1406263842,NULL,NULL,NULL,NULL,NULL,NULL,10 июля 2014 года вещание телеканала CTC Love стартовало в цифровой кабельной сети «Билайн».,492532370848100000
61,NULL,1406263886,NULL,NULL,-1,NULL,NULL,NULL,"RT @OliverLoveFrank: ЕСЛИ МОБ.ИНЕТ ОПЯТЬ НЕ ЗАРАБОТАЕТ - Я СОЖГУ ВО СЛАВУ САТАНЕ ВСЕ ЗДАНИЯ МТС
ТВАРЬ ЗАХАРИЛИ УЖЕ ЛИШАТЬ МЕНЯ ИНЕТА
Я ВАС …",492532553891730000
62,NULL,1406264067,NULL,NULL,0,NULL,NULL,NULL,мтс банк ростовский филиал руководство http://t.co/Ksi2QXrhr9 #ростовский #банк,492533315807610000
63,NULL,1406264460,NULL,NULL,1,NULL,NULL,NULL,RT @MartinHayes13: Компания МТС после слогана «Ты лучше!» придумала ещё 2: «У тебя больше!» и «Ты чаще!»,492534960340100000
64,NULL,1406264777,NULL,1,NULL,NULL,NULL,NULL,"@parfenov1960 Мегафон, потому что самый крутой мобильный интернет.",492536293247970000
65,NULL,1406264874,NULL,+-,NULL,NULL,NULL,NULL,"При этом выходишь на улицу и @megafonru снова летает! В метро показывает hspa+, а интернет не грузит вообще",492536699332090000
66,0,1406265144,NULL,NULL,NULL,NULL,NULL,NULL,RT @JulikaAttaway: Драйвера на модем билайна http://t.co/nU25P1XOve,492537832120910000
67,0,1406265207,NULL,NULL,NULL,NULL,NULL,NULL,"@barskykd Константин, мы понимаем Вас.Но для того,что бы Вы могли пользоваться всеми возможностями нашей компании,пож-та,обратитесь=&gt;#билайн",492538096068890000
68,NULL,1406265270,NULL,NULL,-1,NULL,NULL,NULL,"Интересно. Интернет от МТС, бывший Стрим, вообще в курсе, что он высокоскоростной?! Скорость имеет, к тому же, волновую природу.",492538360817150000
69,0,1406265346,NULL,NULL,NULL,NULL,NULL,NULL,код ошибки 4 билайн http://t.co/NePXo4S0YO,492538676577330000
70,NULL,1406265890,NULL,NULL,1,NULL,NULL,NULL,МТС лучший,492540961155990000
71,NULL,1406265914,NULL,NULL,NULL,0,NULL,NULL,«Ростелеком» подсчитал ущерб от наводнения на Алтае,492541058992340000
72,NULL,1406265957,NULL,0,NULL,NULL,NULL,NULL,e367 мегафон http://t.co/RRVUL0typI прошивка,492541240341450000
73,NULL,1406266001,NULL,0,NULL,NULL,NULL,NULL,"@megafonru @VolkowaH Уточните, пожалуйста в ЛС Ваш номер,  ФИО абонента и Ваше точное местоположение город,улицу и номер дома.Проверим.",492541427486690000
74,NULL,1406266580,NULL,NULL,0,NULL,NULL,NULL,"RT @krasnok18629570: ФАС РФ на заседании в понедельник, 30 июня, приняло сторону компании МТС в споре вокруг контракта на обслуживание Сове…",492543853803890000
75,0,1406266735,NULL,NULL,NULL,NULL,NULL,NULL,прошивка модема e160g билайн http://t.co/jlfEHHqmbY,492544503036000000
76,-1,1406266928,NULL,NULL,NULL,NULL,NULL,NULL,"Кста я лошок, вчера билайн вырубил инет на самом интересном месте",492545313627200000
77,NULL,1406267084,NULL,NULL,NULL,NULL,NULL,0,Tele2 подводит итоги четырех лет работы в Вологодской области,492545966634170000
78,NULL,1406267096,NULL,0,NULL,NULL,NULL,NULL,"@Olegt0rr @MegaFonHelp уточните, на каких именно ветках/на каких станциях наблюдались сложности с недоступностью мобильного интернет?",492546018450640000
79,1,1406267257,NULL,NULL,NULL,NULL,NULL,NULL,"омг, появился сигнал #LTE на работе! #билайн",492546694094270000
80,NULL,1406267431,NULL,NULL,0,NULL,NULL,NULL,"Абоненты МТС могут говорить за счет собеседника, находясь в роуминге",492547423362110000
81,NULL,1406267622,NULL,NULL,0,NULL,NULL,NULL,С 7 по 14 июня 2014 года МТС будет ежедневно проводить розыгрыш билетов на Фестиваль «Воздух»,492548225866670000
82,NULL,1406267955,NULL,-1,NULL,NULL,NULL,NULL,что-то опять не работает автоплатеж в мегафон :-(,492549621554480000
83,NULL,1406267997,NULL,0,NULL,NULL,NULL,NULL,«Мегафон» приобрел еще 25% акций компании «Евросеть» за 657 млн долларов,492549795840420000
84,1,1406268090,NULL,NULL,0,NULL,NULL,NULL,«Вымпелком» вслед за МТС снижает стоимость роуминга в Крыму,492550187332950000
85,NULL,1406268271,NULL,-1,NULL,NULL,NULL,NULL,"Как и ожидалось, никакой @MegaFonUralhelp со скоростью помогать даже и не собирался. Лишь бы абонент отстал... http://t.co/hulmUH1CRF",492550944669070000
86,0,1406268282,NULL,0,0,0,NULL,0,"Как отправить маячок с мтс, теле2, мегафона, билайна, ростелеком - KakChtoPochemu.ru http://t.co/hMbDp9ahJg",492550993670710000
87,-1,1406268451,NULL,NULL,1,NULL,NULL,NULL,"Вот и МТС запустил LTE в Саратове... Билайн, ау?",492551703217320000
88,NULL,1406268739,NULL,NULL,NULL,0,NULL,NULL,«Ростелеком» поддержал проведение соревнований по пляжному футболу «Анапа OPEN»,492552911675990000
89,-1,1406268873,NULL,NULL,NULL,NULL,NULL,NULL,RT @t_felg: Предлагаю Билайну сгореть в аду,492553471393290000
90,-1,1406268907,NULL,NULL,NULL,NULL,NULL,NULL,@Wild_Ma13 вся семья на билайне...так бы поменял:),492553613034920000
91,NULL,1406269032,NULL,0,NULL,NULL,NULL,NULL,пошаговая инструкция как связаться с оператором мегафон http://t.co/yR5dBnEjeL #как #мегафон,492554140623450000
92,NULL,1406269160,NULL,NULL,+-,NULL,NULL,NULL,Столько МТС здесь еще не было (@ Центральный парк культуры и отдыха) http://t.co/bnODxS5F7u http://t.co/WtH0CawegJ,492554676479720000
93,NULL,1406269404,NULL,NULL,NULL,1,NULL,NULL,Два повода подключить скоростной интернет от «Ростелекома» летом #R,492555700149950000
94,NULL,1406269579,NULL,-1,NULL,NULL,NULL,NULL,"#минивэн NoahVoxy. Двигатель • Re: Перегрев двигателя 1AZ-FSE?: megafon_35, на алиэкспрес наши... http://t.co/quArnN3gW4 #автозапчасти",492556432097560000
95,NULL,1406269871,NULL,NULL,NULL,0,NULL,NULL,Система видеонаблюдения «Ростелекома» успешно отработала в дополнительный период ЕГЭ,492557656788580000
96,-1,1406270032,NULL,NULL,NULL,NULL,NULL,NULL,"@zinda96 Добрый день!Очень жаль, что у Вас возникло такое желание.Скажите, пож-та,цены на какие тарифы или услуги Вам не подходят? #билайн",492558334470660000
97,NULL,1406270044,NULL,NULL,0,NULL,NULL,NULL,МТС включила 4G в Саратовской области http://t.co/DHzBXP6K7q,492558384701260000
98,NULL,1406270702,NULL,NULL,0,NULL,NULL,NULL,почему людям нравмтся майнкрафт http://t.co/HUllVIREeI,492561145057010000
99,NULL,1406270852,NULL,-1,NULL,NULL,NULL,NULL,"RT @lexandrGurkin: @rus_fas @nicko664 @Grajdansky @megafonru оператор и спамер продолжают рассылки спама, наплевав на ФАС https://t.co/Ajr5…",492561771535020000
100,NULL,1406270852,NULL,0,NULL,NULL,NULL,NULL,"""Мегафон"" не получил крупный контракт на обслуживание Пенсионного фонда: ПФР при выборе победителя учитывал среди… #Афоризмы",492561773027820000
101,-1,1406272840,NULL,NULL,NULL,NULL,NULL,NULL,"@the22ofJuly зайдешь. У меня билайн, так что ты только потратишь деньги, много",492570109387770000
102,NULL,1406272951,NULL,NULL,NULL,0,NULL,NULL,«Ростелеком» принял участие в учительском проекте,492570577144910000
103,NULL,1406272962,NULL,1,NULL,NULL,NULL,NULL,Более 19 тысяч клиентов оценили на «пятерку» качество обслуживания в салонах «МегаФона» в Бурятии http://t.co/eKMJD6Lvcp,492570620677610000
104,0,1406273451,NULL,NULL,NULL,NULL,NULL,NULL,"В альбоме появились фотки с визита блогеров и журналистов в Билайн, на Взлетную 3 в Красноярске! Смотрим, радуе.. http://t.co/5LK6BekxbK",492572672153620000
105,NULL,1406273573,NULL,NULL,0,NULL,NULL,NULL,"@Malawyn, уточните, пожалуйста, переносимый номер и контактный номер. Спасибо! ^ДП #МТС",492573185192520000
106,NULL,1406274201,NULL,-1,1,NULL,NULL,NULL,"Короче, вчера до Мегафона я так и не доехал. Зато поузнавал у пользователей МТС..у них LTE работает",492575818695330000
107,NULL,1406274749,NULL,NULL,0,NULL,NULL,NULL,НКРСИ выделила «МТС Украина» короткий номер,492578116406350000
108,NULL,1406274897,NULL,-1,NULL,NULL,NULL,NULL,«Мегафон» повысил стоимость интернет-роуминга в Европе в 2 раза,492578739528550000
109,NULL,1406275448,NULL,NULL,0,NULL,NULL,NULL,"@slavyanka_river, о всех изменениях в тарифах или услугах, публикуется информация на нашем сайте: http://t.co/Gj3HHWeF3l. ^ДП #МТС",492581049701260000
110,0,1406275764,NULL,NULL,NULL,NULL,NULL,NULL,"Beeline объявляет о назначении Артура Григоряна на должность коммерческого директора Блока мобильной связи, сообщает пресс-служба компании.",492582373071270000
111,1,1406276266,NULL,NULL,NULL,NULL,NULL,NULL,Вчера был фестиваль Билайна в Барнауле. Билайн запускает у нас 4G) Теперь будет все быыстро)),492584481887620000
112,-1,1406276311,NULL,NULL,NULL,NULL,NULL,NULL,Но в салонах Beeline об этом почему-то ещё не знают((,492584670119230000
113,NULL,1406276587,NULL,NULL,0,NULL,NULL,NULL,мтс для keenetic 4g http://t.co/GV8PslMK4f прошивка,492585825528730000
114,NULL,1406276992,NULL,NULL,-1,NULL,NULL,NULL,@ru_mts 24-го получил смс что обращение приняли в работу хотя я жду ответа с 17-го числа - объясните что это означает???????,492587526407070000
115,NULL,1406277047,NULL,NULL,NULL,NULL,NULL,0,Tele2 совместно в вологжанами украсили Парк мира к новогодним праздникам.Неравнодушные вологжане своими силами украсили Парк Мира к новогод,492587754786930000
116,NULL,1406277640,NULL,-1,NULL,NULL,NULL,NULL,@megafonru убивает в людях чувство прекрасного http://t.co/QzXK6LXyh2,492590243632410000
117,0,1406277777,NULL,NULL,NULL,NULL,NULL,NULL,mf 626 билайн звонить http://t.co/0YcybFfkAo прошивка,492590819703280000
118,-1,1406277933,NULL,NULL,NULL,NULL,NULL,NULL,"Бля, че с интернетом, тупой билайн",492591473364600000
119,NULL,1406278296,NULL,NULL,0,NULL,NULL,NULL,Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого абонента. Об этом «Ленте.ру» сообщили в к,492592992604410000
120,NULL,1406278472,NULL,NULL,0,NULL,NULL,NULL,@abelyalov это был платёж с карты при помощи моб банка СБ. Переслала все в МТС на номер 1911,492593734610350000
121,NULL,1406278724,NULL,NULL,1,NULL,NULL,NULL,Вежливый МТС http://t.co/WxzmcjHct0 #приколы,492594791733920000
122,NULL,1406278930,NULL,NULL,0,NULL,NULL,NULL,"Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлению ЗАО &amp;laquo;МТС Украина&amp;raquo; сроком на шест",492595653521200000
123,NULL,1406278952,NULL,NULL,1,NULL,NULL,NULL,Оператор МТС первым среди российских операторов предоставляет абонентам возможность в роуминге совершать звонки за счет вызываемого абонент,492595747020630000
124,NULL,1406279045,NULL,NULL,NULL,0,NULL,NULL,Экскурсия в ростелекоме,492596137723830000
125,NULL,1406279245,NULL,NULL,NULL,0,NULL,NULL,"Экскурсия от РТК (@ Музей Связи ""Ростелеком"" w",492596975326740000
126,NULL,1406279245,NULL,NULL,-1,NULL,NULL,NULL,Почему МТС в Дагестане не работает? Кто знает? #RT,492596975809100000
127,NULL,1406279530,NULL,0,NULL,NULL,NULL,NULL,"УрБК, Екатеринбург, 25.07.2014. Компания «МегаФон» фиксирует резкий рост востребованности междугородних звонков у абонентов оператора на Ур",492598170996990000
128,NULL,1406279630,NULL,NULL,0,NULL,NULL,NULL,В МТС @ новокузнецкая http://t.co/Tgwe9u754A,492598589198040000
129,NULL,1406279784,NULL,-1,NULL,NULL,NULL,NULL,@MegaFonHelp  здравствуйте. В Питере тоже LTE не работает до 25?,492599236622840000
130,0,1406279929,NULL,-1,NULL,NULL,NULL,NULL,"@zen_pc когда интернетчики свалят на билайн, то мегафон станет нормальным) вообще все по кругу меняется",492599843630900000
131,0,1406279984,NULL,NULL,NULL,NULL,NULL,NULL,#RuFollowBack «Билайн» создает удобное web-пространство для корпоративных клиентов #ЧитаюВзаимно,492600073592000000
132,NULL,1406280039,NULL,0,NULL,NULL,NULL,NULL,«МегаФон» запустил в Новосибирске федеральный центр телемаркетинга,492600304773650000
133,NULL,1406280138,NULL,0,NULL,NULL,NULL,NULL,"«Мегафон» открывает в Новосибирске Федеральный центр телемаркетинга..По оценке компании, новый центр будет производить обслуживание свыше 2",492600719091180000
134,NULL,1406280185,NULL,1,NULL,NULL,NULL,NULL,Мегафон намерен отключить международный роуминг в Республике Крым,492600915766310000
135,NULL,1406280218,NULL,1,NULL,NULL,NULL,NULL,Вот такую чудную композицию из полевых цветов Вам дарит #мегафон в честь дня рождения компании @MegaFonUral http://t.co/gpWtnGYv20,492601056027630000
136,NULL,1406280293,NULL,NULL,-1,NULL,NULL,NULL,@ru_mts а не противоречит ли это закону о возможности перехода между операторами с сохранением номера?,492601371053810000
137,NULL,1406280552,NULL,1,NULL,NULL,NULL,NULL,"«МегаФон» модернизирует 400 базовых станций в Ростовской области: ""МегаФон"" намерен установить 400 новых маршрутизаторов компании... #железо",492602457545910000
138,NULL,1406280552,NULL,1,NULL,NULL,NULL,NULL,«МегаФон» модернизирует 400 базовых станций в Ростовской области,492602458737080000
139,NULL,1406280552,NULL,1,NULL,NULL,NULL,NULL,#ЧитаюВзаимно «МегаФон» модернизирует 400 базовых станций в Ростовской области #ВЗАИМНЫЙ,492602458816770000
140,NULL,1406280563,NULL,1,NULL,NULL,NULL,NULL,«МегаФон» модернизирует 400 базовых станций в Ростовской области http://t.co/mLUaPN79O3,492602502525620000
141,0,1406280629,NULL,0,0,NULL,NULL,NULL,"RT @nikkiewart: Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь.",492602778926450000
142,NULL,1406280781,NULL,NULL,1,NULL,NULL,NULL,"МТС: ""Мы приветствуем защиту абонентов от спама"" /  http://t.co/onIMs8EBzj http://t.co/Wf1UO7o6yx",492603416334860000
143,NULL,1406280824,NULL,-1,NULL,NULL,NULL,NULL,"Мегафон спонсор ""ДОМа-2""...(я меняю симку)",492603595745800000
144,NULL,1406280921,NULL,NULL,1,NULL,NULL,NULL,"@1ezha, спасибо! Сейчас все должно работать корректно, протестируйте, пожалуйста. ^ДП #МТС",492604003101200000
145,0,1406280965,NULL,NULL,NULL,NULL,NULL,NULL,прошивка для телефона билайн с100 http://t.co/Zy83m2jWKW,492604189001130000
146,-1,1406281136,NULL,NULL,NULL,NULL,NULL,NULL,"В эпоху появления сотовой связи самый лучший оператор был Билайн, его лозунг ""с нами удобно"" очень хорошо работал, не то, что сейчас.",492604905484730000
147,NULL,1406281535,NULL,NULL,0,NULL,NULL,NULL,RT @stokshina: Приехал послушать про счастье от МТС,492606578772560000
148,NULL,1406281746,NULL,-1,NULL,NULL,NULL,NULL,"@MegaFonUralhelp я предоставил всю необходимую информацию. проблема заключается в медленном интернете, а не на каком этаже я живу.",492607464148570000
149,NULL,1406281914,NULL,NULL,NULL,0,NULL,NULL,RT @Rostelecom_News: А вы поздравили сисадмина с его профессиональным праздником? #деньсисадмина #ростелеком http://t.co/CqAhhNyTyC,492608168439330000
150,0,1406281934,NULL,NULL,NULL,NULL,NULL,NULL,"Так 500 МБ, 3 ГБ или 1 ГБ? #билайн http://t.co/AERDLwuriO",492608255328150000
151,-1,1406282157,NULL,NULL,NULL,NULL,NULL,NULL,Что происходит с Билайн? Нереально дозвониться!!! Невыносимо!,492609188905100000
152,NULL,1406282224,NULL,0,NULL,NULL,NULL,NULL,вы на каку экскурсию? Мы на мегафон #RT,492609467968520000
153,NULL,1406282289,NULL,NULL,1,NULL,NULL,NULL,"Кто там не мог дозвониться до #МТС а я дозвонилась с первого раза. И там есть в меня ""связаться с специалистом набрав 1""",492609742133790000
154,0,1406282431,NULL,NULL,NULL,NULL,NULL,NULL,@Ivbera это билайн,492610335934010000
155,NULL,1406282607,NULL,NULL,NULL,NULL,NULL,0,Лидером рейтинга операционных систем стала Android…. В сети Tele2 увеличилась доля смартфонов,492611076933300000
156,0,1406282673,NULL,0,0,NULL,NULL,NULL,"Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь.”",492611354923390000
157,NULL,1406282684,NULL,NULL,NULL,0,NULL,NULL,«Rostelecom» расширяет сеть продаж и обслуживания клиентов http://t.co/SQ51hmFgB5,492611399709770000
158,-1,1406282793,NULL,NULL,NULL,NULL,NULL,NULL,"@Beeline_RUS Пятницкое шоссе д 18
Молю
Дайте LTE
Огромный ТК, огромная нагрузка
Живём как в каменном веке
Обратите внимание!
Уповаю на вас!",492611856847340000
159,1,1406282793,NULL,NULL,NULL,NULL,NULL,NULL,"RT @Beeline_RUS: @Asdsaruss Сергей, здравствуйте! Спасибо! Мы рады, что Вам понравилась скорость. Приятного пользования интернетом!  #билайн",492611857027720000
160,0,1406282825,NULL,NULL,NULL,NULL,NULL,NULL,"@EvgenyGalashin Евгений,nano SIM может быть,как с поддержкой LTE,так без неё.Пож-та, обратитесь в офис с паспортом для замены.=&gt;#билайн",492611990373020000
161,NULL,1406283089,NULL,NULL,0,NULL,NULL,NULL,"@_IchiRen, готовы провести проверку, отправьте нам на blogs@mts.ru подробности, указав эти данные: http://t.co/ETLqGM3mUP. ^ДП #МТС",492613099883890000
